13:33:03.222 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:33:03.247 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:33:04.626 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:33:05.927 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:33:05.932 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:33:06.994 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:33:17.616 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:33:17.620 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:33:18.643 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:33:29.269 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:36:21.965 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:36:23.552 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:36:24.955 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:36:24.978 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:36:26.420 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:36:27.775 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:36:27.780 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:36:28.804 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:36:29.538 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:36:30.626 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:37:11.760 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:37:13.333 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:37:15.255 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:37:15.280 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:37:16.790 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:37:18.264 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:37:18.268 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:37:19.322 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:37:20.157 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:37:21.235 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:39:23.206 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:39:24.752 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:39:26.128 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:39:26.151 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:39:27.568 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:39:28.969 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:39:28.975 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:39:29.984 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:39:30.753 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:39:31.851 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:40:52.589 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:40:54.136 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:40:55.703 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:40:57.115 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:40:58.606 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:40:59.644 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:41:00.392 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:41:01.433 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:42:05.935 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:42:07.524 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:42:08.874 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:42:08.901 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:42:10.316 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:42:11.687 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:42:11.690 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:42:12.764 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:42:13.542 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:42:14.654 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:43:25.815 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:43:27.359 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:43:29.091 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:43:29.121 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:43:30.559 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:43:31.899 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:43:31.902 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:43:32.927 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:43:33.601 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
13:43:33.603 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
13:43:34.757 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
13:43:35.325 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
18:16:58.618 [main] INFO  testClass.Loginuser - *** start user login process ***
18:17:00.542 [main] INFO  testClass.Loginuser - User logged in successfully
18:18:17.292 [main] INFO  testClass.Loginuser - *** start user login process ***
18:18:18.915 [main] INFO  testClass.Loginuser - User logged in successfully
18:23:18.878 [main] INFO  testClass.AccountRegistration -  *** started User Registration and shopping process *** 
18:23:22.133 [main] INFO  testClass.AccountRegistration - User Registered
18:24:03.443 [main] INFO  testClass.AccountRegistration -  *** started User Registration and shopping process *** 
18:24:05.854 [main] INFO  testClass.AccountRegistration - User Registered
18:24:12.205 [main] INFO  testClass.AccountRegistration - Provided user details
18:24:15.820 [main] INFO  testClass.AccountRegistration - User entered card details
18:24:18.541 [main] INFO  testClass.AccountRegistration - confirmed order and captured order number in screenshot
18:24:19.532 [main] INFO  testClass.AccountRegistration - *** Finished shopping process and signed off ***
18:55:53.950 [main] INFO  testClass.AccountRegistration -  *** started User Registration and shopping process *** 
18:55:56.076 [main] INFO  testClass.AccountRegistration - User Registered
18:56:02.521 [main] INFO  testClass.AccountRegistration - Provided user details
18:56:46.889 [main] INFO  testClass.AccountRegistration -  *** started User Registration and shopping process *** 
